Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             aten::mul         3.30%     598.860ms         4.13%     749.790ms     576.761us     744.595ms         4.12%     744.595ms     572.765us           0 b           0 b       2.95 Gb           0 b          1300  
                              aten::eq         1.73%     314.829ms         3.91%     709.541ms       1.183ms     364.056ms         2.01%     712.878ms       1.188ms           0 b           0 b       1.76 Mb           0 b           600  
                aten::_index_put_impl_         1.27%     230.864ms         3.64%     660.604ms       6.606ms     252.295ms         1.39%     660.811ms       6.608ms           0 b           0 b           0 b    -750.00 Kb           100  
                           aten::fill_         3.32%     603.695ms         3.32%     603.695ms     261.793us     595.061ms         3.29%     595.061ms     258.049us           0 b           0 b           0 b           0 b          2306  
                   IndexSelectBackward         0.35%      63.776ms         3.22%     585.030ms       1.950ms      62.731ms         0.35%     588.516ms       1.962ms           0 b           0 b     324.99 Mb           0 b           300  
                            aten::mul_         3.01%     547.164ms         3.01%     547.164ms     455.970us     544.101ms         3.01%     544.101ms     453.418us           0 b           0 b           0 b           0 b          1200  
                              aten::mm         2.31%     419.284ms         2.81%     510.294ms     637.868us     541.112ms         2.99%     541.112ms     676.390us           0 b           0 b     745.46 Mb           0 b           800  
    Optimizer.zero_grad#Adam.zero_grad         0.62%     112.542ms         2.95%     535.942ms       5.359ms     127.886ms         0.71%     536.366ms       5.364ms        -400 b      -1.95 Kb           0 b           0 b           100  
                          aten::repeat         1.44%     261.489ms         2.94%     533.074ms       1.777ms     301.748ms         1.67%     531.264ms       1.771ms           0 b           0 b      12.45 Mb           0 b           300  
                            MmBackward         0.77%     140.543ms         2.85%     517.465ms       1.725ms     144.985ms         0.80%     527.580ms       1.759ms           0 b           0 b     440.67 Mb           0 b           300  
